# iter   residual_norm   true_error_norm
1  2.568623237099902e+01  5.930017423664990e+00
2  1.061827382318174e+01  4.195767164332479e+00
3  1.057973562309810e+01  4.194299111519849e+00
4  6.474140377899628e+00  3.457989723924674e+00
5  6.471393818039228e+00  3.456870587206919e+00
6  4.268118114966510e+00  2.943731646702663e+00
7  4.265823139441433e+00  2.944343627985450e+00
8  3.092758869895180e+00  2.646976634130998e+00
9  3.091366000991094e+00  2.648426260275302e+00
10  2.354900868782686e+00  2.424090411841168e+00
11  2.354775836659284e+00  2.424515572088606e+00
12  1.936612999042189e+00  2.271114023323178e+00
13  1.936600461613575e+00  2.270924622839119e+00
14  1.642517850422667e+00  2.132305434819409e+00
15  1.642429744133388e+00  2.132803604995341e+00
16  1.385514169954444e+00  1.991569044759457e+00
17  1.383099990402340e+00  1.987212116963025e+00
18  1.190702686141373e+00  1.872206643193330e+00
19  1.190240277412449e+00  1.870773885063759e+00
20  1.014677391825727e+00  1.757622548727963e+00
21  1.013810038079978e+00  1.756166402888191e+00
22  8.877502478825336e-01  1.672543910030232e+00
23  8.869980869584276e-01  1.670818137135376e+00
24  7.923104333533978e-01  1.599088642896899e+00
25  7.900334066452713e-01  1.595632500471381e+00
26  7.040665580703371e-01  1.526275634276238e+00
27  7.032501165508178e-01  1.524603018841553e+00
28  6.269192667564045e-01  1.461422103953644e+00
29  6.250454319885917e-01  1.458306069059479e+00
30  5.690604415500087e-01  1.410329668702760e+00
31  5.681971463170757e-01  1.408223284967614e+00
32  5.183458698556359e-01  1.360948332415949e+00
33  5.180392221011826e-01  1.359774375839696e+00
34  4.737512330598677e-01  1.316407112831244e+00
35  4.727538992903597e-01  1.313320343768715e+00
36  4.350016712295482e-01  1.274396190732921e+00
37  4.334358050429172e-01  1.270071375337821e+00
38  3.927431755652587e-01  1.228061155841599e+00
39  3.912754791819233e-01  1.223956592215571e+00
40  3.569276194422576e-01  1.189593544445594e+00
41  3.556463770998587e-01  1.185930507430312e+00
42  3.214709517130444e-01  1.152541378769407e+00
43  3.198727507349338e-01  1.148570967136501e+00
44  2.891071544721917e-01  1.120473736443421e+00
45  2.871260614542592e-01  1.116308219137945e+00
46  2.573697194065209e-01  1.091091406766095e+00
47  2.562784227053245e-01  1.088728564468953e+00
48  2.294083963271826e-01  1.068550818172687e+00
49  2.293740117912335e-01  1.068247142704400e+00
50  2.080027773658405e-01  1.052594228831550e+00
51  2.076239665492283e-01  1.051398082538271e+00
52  1.917016198942675e-01  1.039918588202554e+00
53  1.913360535030644e-01  1.038812631916196e+00
54  1.755485128154153e-01  1.027401941125169e+00
55  1.754632754592819e-01  1.026960323879292e+00
56  1.616674662685649e-01  1.017516812559029e+00
57  1.616359745551596e-01  1.017766122158042e+00
58  1.517236424376864e-01  1.010229681849665e+00
59  1.517029211323268e-01  1.010487500731605e+00
60  1.443660877127088e-01  1.004441117262296e+00
61  1.443547151783575e-01  1.004661953141160e+00
62  1.370664844271123e-01  9.972221636660592e-01
63  1.369617473023754e-01  9.978616432791975e-01
64  1.293215223879337e-01  9.898188079624600e-01
65  1.290158454949199e-01  9.907953443501029e-01
66  1.217972369109970e-01  9.830750608237327e-01
67  1.214565008989290e-01  9.843693738465970e-01
68  1.155094226703399e-01  9.770304037257908e-01
69  1.153963098299185e-01  9.779551156756405e-01
70  1.102069431340114e-01  9.706306133799739e-01
71  1.101531659192511e-01  9.713381787939278e-01
72  1.057694185705410e-01  9.643170030300671e-01
73  1.056028671177199e-01  9.655711097828978e-01
74  1.015901546724005e-01  9.583515268047188e-01
75  1.013964247690925e-01  9.596304001122929e-01
76  9.705087227814602e-02  9.520649986089937e-01
77  9.672667735730746e-02  9.536354055710070e-01
78  9.325058020703551e-02  9.472481805086419e-01
79  9.250897314187076e-02  9.500205296202316e-01
80  9.011298302628103e-02  9.432543145163699e-01
81  8.965921113094211e-02  9.456860472547651e-01
82  8.758269077446737e-02  9.391032779767075e-01
83  8.720049623632388e-02  9.412944898606180e-01
84  8.508527158979115e-02  9.333064856929761e-01
85  8.475999841797849e-02  9.352858249848623e-01
86  8.319872631845168e-02  9.284300402574928e-01
87  8.263385721494568e-02  9.307511908121338e-01
88  8.106242628996657e-02  9.225220137880589e-01
89  8.084151926715247e-02  9.243999815413292e-01
90  7.922270959352211e-02  9.160634535422579e-01
91  7.890392672210272e-02  9.181162705377734e-01
92  7.723431189224751e-02  9.098455350583852e-01
93  7.685371297438008e-02  9.117776053790271e-01
94  7.550722414447490e-02  9.040608657652762e-01
95  7.513541247663832e-02  9.059832792517922e-01
96  7.382292012900823e-02  8.980622433989303e-01
97  7.365079062128420e-02  9.001281981280782e-01
98  7.258695764768801e-02  8.933968466233426e-01
99  7.225505512254191e-02  8.959754379034033e-01
100  7.107568782820255e-02  8.880430257487403e-01
101  7.087937577869440e-02  8.900219415128140e-01
102  6.972415363126394e-02  8.817363183103790e-01
103  6.962807523026258e-02  8.835952129805421e-01
104  6.867496195097775e-02  8.751222579647046e-01
105  6.861644171896640e-02  8.766033933740258e-01
106  6.746500119412054e-02  8.673014615662478e-01
107  6.738361831514453e-02  8.689317930851707e-01
108  6.612051606537273e-02  8.591985597283692e-01
109  6.608663266136981e-02  8.603026955528664e-01
110  6.500243108139353e-02  8.506743702957082e-01
111  6.497750296249119e-02  8.515899239693949e-01
112  6.395521339707648e-02  8.424504315802978e-01
113  6.395492645762070e-02  8.425825636564476e-01
114  6.307541029022817e-02  8.354709537571636e-01
115  6.307518109201690e-02  8.355893194987114e-01
